recipe_id,recipe_name,prep_time,servings
1,Slow Cooker Chicken and Dumplings,,
2,Awesome Slow Cooker Pot Roast,,
3,Brown Sugar Meatloaf,,
4,Best Chocolate Chip Cookies,,
5,Homemade Mac and Cheese Casserole,,
6,Banana Banana Bread,,
7,Chef John's Fisherman's Pie,,
8,Mom's Zucchini Bread,,
9,The Best Rolled Sugar Cookies,,
10,Singapore Chili Crabs,,
11,Downeast Maine Pumpkin Bread,,
12,"Best Big, Fat, Chewy Chocolate Chip Cookie",,
13,Aimee's Mashed Cauliflower 'Potatoes',,
14,Irish Lamb Stew,,
15,To Die For Blueberry Muffins,,
16,Broiled Tilapia Parmesan,,
17,Award Winning Soft Chocolate Chip Cookies,,
18,World's Best Lasagna,,
19,Best Brownies,,
20,Irish Soda Bread,,
21,Delicious Ham and Potato Soup,,
22,Chicken Pot Pie IX,,
23,Fluffy Pancakes,,
24,Good Old Fashioned Pancakes,,
25,Banana Crumb Muffins,,
26,Bailey's Irish Cream Brownies,,
27,Apple Pie by Grandma Ople,,
28,Easy Irish Colcannon,,
29,Ang's Balsamic Maple Chicken,,
30,Zesty Slow Cooker Chicken Barbecue,,
31,Chicken Cordon Bleu II,,
32,Chantal's New York Cheesecake,,
33,Baked Teriyaki Chicken,,
34,Guacamole,,
35,Boilermaker Tailgate Chili,,
36,Baked Pork Chops I,,
37,Easy Sugar Cookies,,
38,Slow Cooker Chicken Taco Soup,,
39,Grandmother's Buttermilk Cornbread,,
40,Baked Ziti I,,
41,Janet's Rich Banana Bread,,
42,Big Soft Ginger Cookies,,
43,Mrs. Sigg's Snickerdoodles,,
44,Taco Seasoning I,,
45,Sloppy Joes II,,
46,Clone of a Cinnabon,,
47,Too Much Chocolate Cake,,
48,Carrot Cake III,,
49,Apple Crisp II,,
50,Amish White Bread,,
51,Creamy Au Gratin Potatoes,,
52,Garlic Chicken,,
53,Grilled Salmon I,,
54,Buffalo Chicken Dip,,
55,Salsa Chicken,,
56,Quick and Easy Alfredo Sauce,,
57,Chewy Chocolate Chip Oatmeal Cookies,,
58,Chicken Marsala,,
59,Slow-Cooker Chicken Tortilla Soup,,
60,Creamy Rice Pudding,,
61,Banana Sour Cream Bread,,
62,Quinoa and Black Beans,,
63,Easy Meatloaf,,
64,Annie's Fruit Salsa and Cinnamon Chips,,
65,Chicken Enchiladas II,,
66,Slow Cooker Pulled Pork,,
67,Cream Cheese Frosting II,,
68,Beth's Spicy Oatmeal Raisin Cookies,,
69,Maple Salmon,,
70,Slow Cooker Beef Stew I,,
71,Brooke's Best Bombshell Brownies,,
72,Fluffy French Toast,,
73,Slow Cooker Beef Stroganoff I,,
74,Soft Oatmeal Cookies,,
75,Roast Sticky Chicken-Rotisserie Style,,
76,Salisbury Steak,,
77,Braised Balsamic Chicken,,
78,Jamie's Cranberry Spinach Salad,,
79,Mouth-Watering Stuffed Mushrooms,,
80,Rosemary Ranch Chicken Kabobs,,
81,J.P.'s Big Daddy Biscuits,,
82,Slow Cooker Chicken Stroganoff,,
83,Easy Slow Cooker French Dip,,
84,Peanut Butter Cup Cookies,,
85,Iced Pumpkin Cookies,,
86,Burrito Pie,,
87,"Sweet, Sticky and Spicy Chicken",,
88,Jay's Signature Pizza Crust,,
89,Angel Chicken Pasta,,
90,Jalapeno Popper Spread,,
91,Buttermilk Pancakes II,,
92,Chocolate Chocolate Chip Cookies I,,
93,"Bow Ties with Sausage, Tomatoes and Cream",,
94,Roasted Brussels Sprouts,,
95,Waffles I,,
96,Alfredo Sauce,,
97,Restaurant-Style Buffalo Chicken Wings,,
98,Sugar Cookie Icing,,
99,Meatball Nirvana,,
100,Double Layer Pumpkin Cheesecake,,
101,Awesome and Easy Creamy Corn Casserole,,
102,Chuck's Favorite Mac and Cheese,,
103,Italian Spaghetti Sauce with Meatballs,,
104,BBQ Pork for Sandwiches,,
105,Eggplant Parmesan II,,
106,Curried Coconut Chicken,,
107,Simple White Cake,,
108,Banana Muffins II,,
109,Marinated Grilled Shrimp,,
110,Chicken Breasts with Balsamic Vinegar and Garlic,,
111,Country Apple Dumplings,,
112,Slow-Cooker Pepper Steak,,
113,Anniversary Chicken I,,
114,Best Steak Marinade in Existence,,
115,Key Lime Pie VII,,
116,Debdoozie's Blue Ribbon Chili,,
117,Double Tomato Bruschetta,,
118,Basic Crepes,,
119,Bread Pudding II,,
120,Famous Butter Chicken,,
121,White Chocolate Raspberry Cheesecake,,
122,Yummy Sweet Potato Casserole,,
123,Baked Dijon Salmon,,
124,Amazing Pork Tenderloin in the Slow Cooker,,
125,Banana Pudding IV,,
126,Fresh Southern Peach Cobbler,,
127,Ultimate Twice Baked Potatoes,,
128,Homemade Black Bean Veggie Burgers,,
129,Best Bread Machine Bread,,
130,Easy OREO Truffles,,
131,Szechwan Shrimp,,
132,Baked Salmon II,,
133,Grandma's Green Bean Casserole,,
134,Shepherd's Pie VI,,
135,Zucchini Brownies,,
136,Spicy Garlic Lime Chicken,,
137,"Awesome Sausage, Apple and Cranberry Stuffing",,
138,It's Chili by George!!,,
139,Juicy Roasted Chicken,,
140,Artichoke & Spinach Dip Restaurant Style,,
141,Baked Garlic Parmesan Chicken,,
142,Rempel Family Meatloaf,,
143,Sweet Restaurant Slaw,,
144,Sweet Dinner Rolls,,
145,Italian Sausage Soup,,
146,Classic Peanut Butter Cookies,,
147,Aussie Chicken,,
148,Garlic Cheddar Chicken,,
149,Butternut Squash Soup,,
150,Yummy Honey Chicken Kabobs,,
151,Pizza Dough I,,
152,Pumpkin Pancakes,,
153,Beef Stew VI,,
154,Marinated Baked Pork Chops,,
155,Chicken Enchiladas I,,
156,Perfect Pumpkin Pie,,
157,Mexican Rice II,,
158,One Bowl Chocolate Cake III,,
159,Chicken Tikka Masala,,
160,Roasted Garlic Cauliflower,,
161,Cajun Chicken Pasta,,
162,Strawberry Spinach Salad I,,
163,Stuffed Green Peppers I,,
164,Hot Artichoke and Spinach Dip II,,
165,Peanut Butter Bars I,,
166,Quick and Easy Pizza Crust,,
167,Baked Honey Mustard Chicken,,
168,Quick and Easy Chicken Noodle Soup,,
169,Golden Sweet Cornbread,,
170,American Lasagna,,
171,Broccoli Cheese Soup,,
172,Artichoke Chicken,,
173,Blueberry Zucchini Bread,,
174,Hamburger Steak with Onions and Gravy,,
175,Sam's Famous Carrot Cake,,
176,Oatmeal Peanut Butter Cookies,,
177,Black Magic Cake,,
178,Flourless Peanut Butter Cookies,,
179,Seven Layer Taco Dip,,
180,Ginger Glazed Mahi Mahi,,
181,Gourmet Mushroom Risotto,,
182,Sweet Potato Pie I,,
183,Creamy Chicken and Wild Rice Soup,,
184,Grandma Ople's  Apple Pie,,
185,Sarah's Applesauce,,
186,Angela's Awesome Enchiladas,,
187,Chicken Florentine Casserole,,
188,Addictive Sweet Potato Burritos,,
189,Exquisite Pizza Sauce,,
190,Super-Delicious Zuppa Toscana,,
191,Brown Sugar Smokies,,
192,Donut Muffins,,
193,Lime Chicken Soft Tacos,,
194,Fish Tacos,,
195,Caramelized Baked Chicken,,
196,Pecan Pie V,,
197,Slow Cooker Italian Beef for Sandwiches,,
198,Slow Cooker Buffalo Chicken Sandwiches,,
199,Chicken Milano,,
200,Classic Waffles,,
201,Cheesy Ham and Hash Brown Casserole,,
202,Grandma Johnson's Scones,,
203,Baked Asparagus with Balsamic Butter Sauce,,
204,Honey Mustard Grilled Chicken,,
205,Beef Stroganoff III,,
206,Mini Meatloaves,,
207,Shrimp Scampi Bake,,
208,Best Spanish Rice,,
209,Crustless Spinach Quiche,,
210,Homesteader Cornbread,,
211,Jamie's Minestrone,,
212,The Best Lemon Bars,,
213,Cake Balls,,
214,Outrageous Chocolate Chip Cookies,,
215,Chicken Cordon Bleu I,,
216,Best Lemonade Ever,,
217,Baked Kale Chips,,
